red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
178,35965,26,90281,3150,0,Sheet Metal Door,3.14,1.73,1023
2975,29531,34,86519,10541,0,Vending Machine,5.53,7.0,1191
15,29518,429,86564,13074,0,Road Sign Kilt,1.44,1.35,1275
4183,10276,5079,96095,13967,0,Road Sign Jacket,2.59,1.64,1277
328,47083,53,59712,22424,0,Burlap Shoes,1.45,4.5,1135
9,32506,277,95578,1230,0,Sheet Metal Door,1.49,1.68,386
8796,37882,2135,68550,12237,0,Sleeping Bag,3.36,9.69,785
2204,39322,6940,72736,8398,0,Boots,0.99,7.67,673
572,34931,3643,86017,4437,0,Hoodie,2.99,17.91,757
1069,17602,15619,94262,1048,0,Pants,0.99,2.9,673
84,7832,35,120474,1175,0,Combat Knife,1.99,1.84,386
4,26655,33,98389,4519,0,Metal Facemask,4.49,1.73,1209
70,4656,316,123107,1451,0,Double Barrel Shotgun,2.99,3.61,448
13,783,21,128737,46,0,Burlap Headwrap,1.21,3.52,1142
2,19382,35,108004,2177,0,Metal Facemask,1.36,1.67,925
335,25767,42,98797,4659,0,Leather Gloves,1.9,5.15,1155
10,15464,26,113174,926,0,Sheet Metal Door,1.49,2.44,840
1804,5922,32,120793,1049,0,Furnace,1.49,4.33,813
688,35077,19,90821,2995,0,Garage Door,1.49,5.5,680
97,9072,48,114496,5887,0,Salvaged Sword,1.99,1.23,553
866,14331,49,108397,5957,0,Hammer,1.99,2.25,1086
5081,9986,26,112363,2144,0,Sheet Metal Door,1.4,1.66,147
270,6060,33,117068,6169,0,Assault Rifle,1.99,1.84,441
1103,7631,54,108680,12132,0,LR-300,1.99,3.32,554
1467,7965,54,113754,6360,0,LR-300,1.99,1.58,953
2475,24973,43,91788,10321,0,Riot Helmet,0.99,1.85,700
4,48488,28,78168,2912,0,Armored Door,1.99,5.03,1066
0,5,34,129561,0,0,Improvised Balaclava,16.86,3.9,1233
104,12257,29,116785,425,0,Bandana Mask,0.99,1.93,651
526,25860,29,81552,21633,0,Boonie Hat,0.99,3.04,651
4,27351,31,100412,1802,0,Burlap Trousers,0.99,4.44,650
21,37044,29,89404,3102,0,Burlap Shirt,0.99,2.67,651
1349,20184,22,104245,3800,0,Improvised Balaclava,2.49,3.2,1681
68,16616,53,110457,2406,0,Burlap Shoes,2.3,23.7,1280
2,30536,30,97128,1904,0,Burlap Shirt,2.46,3.45,1276
3515,8820,38,114080,3147,0,Hoodie,0.99,0.53,132
89,22129,45,105149,2188,0,Pants,0.99,0.59,132
